GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,VersionsRdfContext,0,43,0,0,0,10,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,LdpContainerRdfContext.new Predicate() {...},24,0,4,0,5,0,4,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,LdpContainerRdfContext.new Function() {...},23,0,0,0,5,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,LdpContainerRdfContext.new Function() {...},87,0,6,0,17,0,5,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,PropertiesRdfContext,0,44,0,0,0,10,0,3,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,ReferencesRdfContext,0,46,0,0,0,9,0,3,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,RootRdfContext,80,172,9,17,15,39,9,7,0,3
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,ChildrenRdfContext,36,0,2,0,9,0,5,0,4,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,TypeRdfContext.new Function() {...},4,57,0,0,2,11,0,2,0,2
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,BlankNodeRdfContext.new Predicate() {...},17,0,0,0,5,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,BlankNodeRdfContext.new Function() {...},23,0,0,0,3,0,2,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,BlankNodeRdfContext.new Function() {...},37,0,2,0,7,0,3,0,2,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl,DefaultIdentifierTranslator,20,157,4,12,4,31,4,12,0,8
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,PropertyToTriple,31,83,5,3,7,19,3,6,0,5
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,ItemDefinitionToTriples,83,0,0,0,23,0,6,0,6,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,PropertyDefinitionToTriples,149,0,6,0,37,0,7,0,4,0
Fedora Repository Kernel Implementation,org.fcrepo.kernel.impl.rdf.impl.mappings,PropertyValueIterator,15,54,0,8,6,14,1,6,1,2
